internet,netdome,abortion,buyamer,condoms1,deathpen,goodeduc,gun,marijuan,moreinc,politics,pollut,sexmarr,liberal,age,educ,emplmerg,income,gender,citysize
1,6,6,5,3,1,1,1,1,1,4,1,2,2,56,6,2, ,0,3
2,1,1,3,1,3,2,2,1,3,1,2,1,3,53,4,1,3,1,1
2,1,6,2,6,6,1,1,6,6,6,6,6,4,56,5,3, ,1,1
1,1,4,1,2,6,2,1,1,1,2,3,3,3,59,4,4,8,0,3
1,5,6,6,1,6,5,6,1,1,6,2,1,2,69,3,2,15,0,2
1,6,1,6,4,6, ,6,1,2,2,5,1,3,60,1,1,10,1,3
1,1,1,6,1,6,4,3,1,1,5,5,1,2,77,4,3,4,1,3
1,6,4,6,3,3,4,4,2,1,6,3,1,2,69,4,4,3,0,3
1,4,5,5,1,5,5,1,1,5,2,5,1,3,43,4,4,6,0,2
1,2,1,4,4,1,2,1,4,2,4,5,5,4,58,6,1,12,1,3
1,1,4,6,1,4,1,4,2,1,5,3,1,4,61,3,1,12,1,3
1,4,2,5,3,3,2,1,4,4,1,4,4,3,48,3,4,15,0,4
1,2,1,3,2,3,3,2,2,3,2,4,1,3,80,6,3, ,1,2
1,6,2,1,3,6,5,5,3,6,6,2,1,2,71,4,2,8,1,4
1,5,2,6,2,4,3,1,1,4,4,4,1,1,71,5,3,10,1,2
1,2,5,6,5,6,1,1,6,2,2,5,4,2,44,4,4,1,1,4
1,1,5,4,3,6,2,4,3,6,3,2,4,3,32,3,1,2,1,3
1,2,2,4,2,5,4,4,1,5,5,3,1,2,22,3,1,4,1,3
1,6,2,5,2,6,6,1,1,1,3,2,1,3,64,2,4,7,0,4
1,3,2,5,2,6,4,1,2,3,4,4,1,2,57,4,2,9,0,3
1,6,6,6,6,6,6,1,4,1,1,4,1,2,63,3,3,2,0,4
1,6,6,5,1,6,5,1,1,1,1,6,3,3,74,3,4,6,0,4
1,5,6,6,6,6,6,1,1,6,5,6,6,2,71,1,3,1,0,3
